ID,PropertyID,Status,Cena,KosztyDodatkowe,OpisKosztow,Kaucja,Negocjacja,MaxCena,MinCena,Wystawienie,Wygasniecie,MinStart,MaxStart,MinOkres,MaxOkres,Umowa,TypNajmu,Lokatorzy,OpisLokatorow,PreferowanyNajemca,Zwierzeta,PolitykaZwierzat,Opis,TypWlasciciela
w60,n160,aktywna,4613,339,media,3072,tak,5039,4346,2025-09-01,2025-11-01,2025-03-01,2025-11-01,3,15,zwykly,calkowity,0,rodzina,singiel,nie,możliwe małe zwierzęta,ekonomiczne,osoba_prywatna
w61,n161,aktywna,1550,285,media,1795,tak,1724,1389,2025-09-01,2025-11-01,2025-01-01,2025-12-01,3,27,zwykly,pokoj,2,senior,senior,nie,możliwe zwierzęta,luksusowe,osoba_prywatna
w62,n162,aktywna,8936,221,media,1506,nie,9130,8507,2025-04-01,2025-12-01,2025-06-01,2025-10-01,12,24,zwykly,calkowity,0,senior,singiel,tak,brak zwierząt,duże rodzinne mieszkanie,firma
w63,n163,aktywna,7872,133,media,1110,tak,8014,7392,2025-01-01,2025-11-01,2025-03-01,2025-10-01,6,30,najem okazjonalny,calkowity,3,senior,student,tak,możliwe małe zwierzęta,luksusowe,firma
w64,n164,aktywna,2725,344,media,2432,tak,3215,2389,2025-04-01,2025-11-01,2025-04-01,2025-12-01,3,27,zwykly,calkowity,4,studenci,senior,nie,możliwe małe zwierzęta,luksusowe,firma
w65,n165,aktywna,6626,391,media,4003,tak,6809,6402,2025-02-01,2025-12-01,2025-05-01,2025-12-01,3,27,najem okazjonalny,pokoj,1,rodzina,rodzina,tak,brak zwierząt,"parter, winda",firma
w66,n166,aktywna,6699,682,media,1081,tak,6833,6342,2025-03-01,2025-10-01,2025-02-01,2025-11-01,3,9,zwykly,pokoj,3,rodzina,senior,tak,brak zwierząt,ekonomiczne,osoba_prywatna
w67,n167,aktywna,4599,258,media,4943,nie,5089,4236,2025-04-01,2025-11-01,2025-06-01,2025-10-01,3,27,zwykly,pokoj,5,senior,singiel,nie,możliwe zwierzęta,ekonomiczne,osoba_prywatna
w68,n168,aktywna,2072,371,media,1489,nie,2176,1893,2025-05-01,2025-10-01,2025-06-01,2025-10-01,12,24,zwykly,pokoj,1,studenci,student,nie,możliwe małe zwierzęta,"parter, winda",firma
w69,n169,aktywna,8659,420,media,1827,tak,9010,8338,2025-03-01,2025-11-01,2025-09-01,2025-11-01,3,15,najem okazjonalny,pokoj,1,senior,senior,tak,możliwe małe zwierzęta,duże rodzinne mieszkanie,osoba_prywatna
w70,n170,aktywna,6633,568,media,3538,nie,7043,6257,2025-07-01,2025-12-01,2025-03-01,2025-12-01,3,27,najem okazjonalny,calkowity,2,studenci,senior,nie,możliwe małe zwierzęta,duże rodzinne mieszkanie,osoba_prywatna
w71,n171,aktywna,2981,345,media,3263,nie,3344,2841,2025-08-01,2025-11-01,2025-01-01,2025-12-01,12,36,najem okazjonalny,pokoj,3,studenci,student,tak,możliwe zwierzęta,"parter, winda",osoba_prywatna
w72,n172,aktywna,6885,650,media,1884,nie,7249,6509,2025-07-01,2025-11-01,2025-07-01,2025-12-01,3,9,zwykly,calkowity,2,senior,student,nie,możliwe małe zwierzęta,blisko uczelni,firma
w73,n173,aktywna,1989,761,media,1651,nie,2283,1829,2025-03-01,2025-10-01,2025-03-01,2025-10-01,6,30,zwykly,pokoj,1,rodzina,senior,nie,możliwe zwierzęta,ekonomiczne,firma
w74,n174,aktywna,6405,491,media,1603,nie,6849,6104,2025-03-01,2025-10-01,2025-09-01,2025-11-01,6,12,najem okazjonalny,calkowity,1,studenci,student,nie,możliwe zwierzęta,duże rodzinne mieszkanie,firma
w75,n175,aktywna,6388,556,media,1091,tak,6514,5923,2025-08-01,2025-11-01,2025-02-01,2025-10-01,3,27,zwykly,pokoj,0,studenci,singiel,tak,możliwe zwierzęta,duże rodzinne mieszkanie,firma
w76,n176,aktywna,8140,107,media,1250,nie,8456,7842,2025-01-01,2025-10-01,2025-06-01,2025-12-01,12,24,najem okazjonalny,pokoj,5,rodzina,senior,tak,brak zwierząt,blisko uczelni,osoba_prywatna
w77,n177,aktywna,2031,319,media,1023,nie,2362,1613,2025-06-01,2025-12-01,2025-08-01,2025-11-01,6,30,zwykly,pokoj,4,brak,senior,tak,możliwe zwierzęta,luksusowe,osoba_prywatna
w78,n178,aktywna,7095,109,media,4229,nie,7591,6663,2025-01-01,2025-11-01,2025-01-01,2025-12-01,6,18,zwykly,calkowity,5,brak,student,tak,możliwe małe zwierzęta,blisko uczelni,osoba_prywatna
w79,n179,aktywna,6850,324,media,4052,tak,7218,6373,2025-06-01,2025-11-01,2025-05-01,2025-10-01,3,27,zwykly,pokoj,5,senior,student,nie,możliwe małe zwierzęta,ekonomiczne,osoba_prywatna
w80,n180,aktywna,6903,789,media,3590,tak,7211,6466,2025-04-01,2025-12-01,2025-08-01,2025-10-01,6,18,zwykly,pokoj,2,senior,student,nie,brak zwierząt,"parter, winda",firma
w81,n181,aktywna,6629,500,media,1090,nie,7093,6150,2025-09-01,2025-10-01,2025-05-01,2025-11-01,3,27,najem okazjonalny,calkowity,2,studenci,rodzina,nie,możliwe zwierzęta,wysoki standard,firma
w82,n182,aktywna,8692,312,media,3184,tak,8990,8458,2025-03-01,2025-12-01,2025-04-01,2025-11-01,3,9,najem okazjonalny,pokoj,0,rodzina,senior,tak,brak zwierząt,blisko uczelni,firma
w83,n183,aktywna,4631,614,media,1040,nie,4884,4176,2025-01-01,2025-10-01,2025-06-01,2025-11-01,6,18,zwykly,calkowity,2,rodzina,senior,tak,brak zwierząt,blisko uczelni,firma
w84,n184,aktywna,1430,129,media,4826,nie,1796,1156,2025-08-01,2025-12-01,2025-07-01,2025-11-01,3,15,najem okazjonalny,pokoj,0,studenci,student,tak,możliwe małe zwierzęta,luksusowe,osoba_prywatna
w85,n185,aktywna,1831,160,media,2235,nie,2241,1483,2025-03-01,2025-11-01,2025-07-01,2025-11-01,12,18,zwykly,pokoj,2,studenci,singiel,tak,możliwe małe zwierzęta,"parter, winda",osoba_prywatna
w86,n186,aktywna,8492,665,media,4605,nie,8988,8386,2025-04-01,2025-11-01,2025-02-01,2025-12-01,6,18,zwykly,calkowity,0,studenci,senior,nie,możliwe małe zwierzęta,luksusowe,osoba_prywatna
w87,n187,aktywna,8680,370,media,2975,tak,8940,8397,2025-03-01,2025-10-01,2025-02-01,2025-11-01,6,18,zwykly,pokoj,0,studenci,student,nie,możliwe małe zwierzęta,duże rodzinne mieszkanie,firma
w88,n188,aktywna,2541,363,media,2114,tak,3005,2365,2025-08-01,2025-10-01,2025-04-01,2025-12-01,3,15,najem okazjonalny,pokoj,5,senior,student,tak,możliwe małe zwierzęta,wysoki standard,firma
w89,n189,aktywna,2452,129,media,4587,tak,2945,2222,2025-09-01,2025-12-01,2025-01-01,2025-12-01,12,18,zwykly,pokoj,1,studenci,rodzina,nie,możliwe małe zwierzęta,duże rodzinne mieszkanie,firma
w90,n190,aktywna,2081,230,media,2993,nie,2484,1934,2025-09-01,2025-12-01,2025-08-01,2025-12-01,6,30,zwykly,pokoj,5,studenci,singiel,nie,brak zwierząt,"parter, winda",firma
w91,n191,aktywna,7343,505,media,2319,nie,7667,6870,2025-02-01,2025-10-01,2025-08-01,2025-11-01,6,12,najem okazjonalny,pokoj,5,rodzina,singiel,nie,możliwe małe zwierzęta,ekonomiczne,osoba_prywatna
w92,n192,aktywna,4959,694,media,1790,tak,5372,4628,2025-03-01,2025-12-01,2025-05-01,2025-10-01,3,9,zwykly,pokoj,5,studenci,singiel,tak,możliwe zwierzęta,luksusowe,firma
w93,n193,aktywna,3179,375,media,1989,nie,3524,2728,2025-06-01,2025-10-01,2025-03-01,2025-11-01,3,15,najem okazjonalny,pokoj,2,senior,student,nie,możliwe zwierzęta,blisko uczelni,osoba_prywatna
w94,n194,aktywna,1564,161,media,1243,tak,1948,1153,2025-01-01,2025-11-01,2025-07-01,2025-11-01,12,18,zwykly,pokoj,4,brak,student,tak,możliwe zwierzęta,"parter, winda",osoba_prywatna
w95,n195,aktywna,1997,408,media,2742,nie,2425,1549,2025-01-01,2025-11-01,2025-08-01,2025-10-01,12,18,najem okazjonalny,pokoj,3,rodzina,rodzina,tak,możliwe zwierzęta,blisko uczelni,osoba_prywatna
w96,n196,aktywna,4844,365,media,1179,tak,5248,4699,2025-01-01,2025-10-01,2025-05-01,2025-10-01,12,36,najem okazjonalny,pokoj,0,rodzina,student,nie,możliwe małe zwierzęta,ekonomiczne,osoba_prywatna
w97,n197,aktywna,7305,756,media,4331,nie,7629,6872,2025-08-01,2025-11-01,2025-01-01,2025-11-01,6,18,najem okazjonalny,calkowity,4,brak,rodzina,nie,możliwe zwierzęta,luksusowe,firma
w98,n198,aktywna,8928,705,media,3533,nie,9171,8627,2025-03-01,2025-10-01,2025-04-01,2025-11-01,12,36,najem okazjonalny,pokoj,3,senior,singiel,nie,brak zwierząt,"parter, winda",firma
w99,n199,aktywna,5014,476,media,4288,nie,5352,4552,2025-07-01,2025-11-01,2025-07-01,2025-11-01,3,9,zwykly,pokoj,2,rodzina,rodzina,tak,możliwe zwierzęta,ekonomiczne,osoba_prywatna
w100,n200,aktywna,1253,379,media,3649,tak,1436,915,2025-03-01,2025-11-01,2025-06-01,2025-10-01,6,12,najem okazjonalny,calkowity,1,brak,student,nie,możliwe zwierzęta,"parter, winda",osoba_prywatna
