ID,Typ,Lokalizacja,Ulica,Miasto,Region,KodPocztowy,Kraj,Lat,Long,Odleglosc,Powierzchnia,Standard,Pokoje,Lazienki,Rok,Konstrukcja,Pietra,NrPietra,Winda,Parking,TypParking,Umeblowane,Ogrzewanie,Energia,Powodz,Stan,Opis,Dostepnosc,OstatniRemont,Utworzono,Zaktualizowano
n12,mieszkanie,miasto,"Ul. Złota 5",warszawa,mazowieckie,00-019,polska,52.2297,21.0122,1.2,100,wysoki,4,3,2021,zelbet,7,5,tak,tak,podziemny,tak,miejskie,a,brak,5,"Atrakcyjne mieszkanie w centrum z 3 łazienkami",2024-07-01,2023-12-01,2023-12-01,2024-06-10
n13,mieszkanie,centrum,"Ul. Piękna 14",gdansk,pomorskie,80-101,polska,54.3520,18.6466,2.0,92,wysoki,4,3,2019,cegla,6,3,tak,tak,garaz,tak,miejskie,a,brak,5,"Nowoczesne, przestronne mieszkanie blisko morza",2024-07-01,2023-09-15,2023-09-15,2024-05-01
n14,mieszkanie,miasto,"Ul. Przyjazna 8",warszawa,mazowieckie,00-002,polska,52.2300,21.0100,2.3,100,wysoki,4,3,2019,cegla,5,2,tak,tak,garaz,tak,miejskie,a,brak,5,"Duże, atrakcyjne mieszkanie blisko centrum",2024-07-01,2023-07-01,2023-12-01,2024-05-01
n15,mieszkanie,miasto,"Ul. Familijna 10",warszawa,mazowieckie,00-003,polska,52.2305,21.0110,3.0,120,wysoki,5,3,2021,cegla,6,4,tak,tak,garaz,tak,miejskie,a,brak,5,"Rodzinne mieszkanie z dużą kuchnią",2024-07-01,2023-10-01,2023-10-01,2024-06-01
n16,mieszkanie,miasto,"Ul. Kawalerska 2",krakow,malopolskie,30-003,polska,50.0650,19.9460,2.0,28,sredni,1,1,2017,beton,4,1,nie,nie,brak,nie,gazowe,b,brak,4,"Małe mieszkanie idealne dla singla",2024-06-10,2023-09-01,2023-09-01,2024-05-10
n17,dom,przedmiescia,"Ul. Zielona 5",poznan,wielkopolskie,60-102,polska,52.4070,16.9260,8.0,160,wysoki,6,3,2022,cegla,2,1,nie,tak,podjazd,tak,gazowe,a,brak,5,"Nowoczesny dom rodzinny z ogrodem",2024-07-01,2024-01-01,2024-01-01,2024-06-15
n18,mieszkanie,miasto,"Ul. Studencka 7",wroclaw,dolnoslaskie,50-103,polska,51.1085,17.0390,3.5,45,sredni,2,1,2018,beton,5,2,nie,nie,brak,nie,miejskie,b,brak,4,"Mieszkanie blisko uczelni, idealne dla studentów",2024-06-20,2023-11-01,2023-11-01,2024-05-20
n19,mieszkanie,miasto,"Ul. Senioralna 1",lodz,lodzkie,90-002,polska,51.7600,19.4570,1.0,35,sredni,1,1,2015,cegla,3,0,tak,nie,brak,nie,miejskie,b,brak,5,"Parterowe mieszkanie dla seniora",2024-07-01,2023-08-01,2023-08-01,2024-06-01
n20,mieszkanie,miasto,"Ul. Inwestycyjna 1",katowice,slaskie,40-001,polska,50.2599,19.0216,2.0,50,sredni,2,1,1980,cegla,4,1,nie,nie,brak,nie,elektryczne,c,brak,3,"Idealne pod inwestycję",2024-07-01,2022-01-01,2022-01-01,2024-06-01
n21,mieszkanie,miasto,"Ul. Spokojna 10",poznan,wielkopolskie,60-200,polska,52.4100,16.9300,6.0,38,sredni,1,1,2014,cegla,3,0,tak,nie,brak,nie,miejskie,b,brak,4,"Parterowe mieszkanie z windą, spokojna okolica",2024-07-01,2023-08-01,2023-08-01,2024-06-01
